ID;AUTORIA;"ORIGEM
(opcional)";CONSULTA PORTAL DA TRANSPARÊNCIA;"CATEGORIA
(opcional)";PONTOS DE ATENÇÃO;SUGESTÕES/BOAS PRÁTICAS;OBSERVAÇÕES;"IMPACTO NO USUÁRIO
(1- Baixo; 2- Médio; 3- Alto)";VIABILIDADE (sim/não);"ESFORÇO (1-Baixo; 2-Médio; 3- Alto)";PRIORIDADE (baixa/alta)
76;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Informação sobre grau e nível em que o servidor se encontra;;médio;sim;1;baixa
77;FORMULÁRIO;FORMULÁRIO;PLANEJAMENTO E MONITORAMENTO;ATUALIZAR DADOS;Informações de planejamento e monitoramento do PPAG;Atualizar;Silviana: Manter a informação atualizada;alto;sim;alto;
78;FORMULÁRIO;FORMULÁRIO;FAQ;INCLUSÃO DE INFORMAÇÕES;;A remuneração do judiciário;Silviana: O Portal possui um link para o TJMG. Podemos colocar essa informação no FAQ. Ex: http://www.portaltransparencia.gov.br/perguntas-frequentes/servidores-publicos;médio;sim;baixo;BAIXA
79;FORMULÁRIO;FORMULÁRIO;GERAL;DOWLOAD DE DOCUMENTOS;Uma forma de exportar os dados para formatos como xlsx, csv, json ou sql. Isso facilitaria a manipulação dos dados;Inserir orientação para que o usuário encontre essa informação no Portal.;O portal apenas exibe csv, mas apenas da tabela vizualizada. Direcionar o usuári para os dados abertos;alto;sim;alto;alto
80;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;CONCEITO;Sinto dificuldade de encontrar o que preciso e gostaria que o salario dos servidores fossem mais detalhados,pois aparece o valor mas nem sempre é o mesmo que a soma dos valores indicados nos detalhes.;Inserir explicação sobre o detalhamento dos salários, explicar por quais motivos os valores podem aparecer diferente.;vide ID 93;médio;sim;1;baixa
81;FORMULÁRIO;FORMULÁRIO;FISCALIZANDO COM TCE;MUNICÍPIOS / OUTROS ESTADOS;Gostaria de ter os dados atualizados! Principalmente os da minha cidade cidade de Francisco Sá -MG , que esta desatualizado desde junho de 2020.;inserir informação orientando sobre quais informações estão disponibilizadas atualmente no Portal sobre os municípios;;;;;
82;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Data de admissão no cargo ocupado pelo servidor, na pesquisa de remuneração de pessoal;;baixo;sim;1;baixa
83;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Sim, dos servidores que já se aposentou.;vide ID 93;médio;sim;1;baixa
84;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;;Conceitos básicos de finanças públicas;;2;SIM;2;BAIXA
85;FORMULÁRIO;FORMULÁRIO;DESPESA;INCLUSÃO DE INFORMAÇÕES;;Eu acho que deveria para cada recurso ter acesso a resolução para o melhor controle.;;;;;
86;FORMULÁRIO;FORMULÁRIO;PESQUISA AVANÇADA;CONSOLIDAR DADOS;Ao detalhar a despesa avançada, sinto falta dos valores dos créditos iniciais e autorizados.;Trazer mais informações para acompanhamento da execução da despesa. Mostrar para o usuário onde estão estas informações no Portal;;3;SIM;2;BAIXA
87;FORMULÁRIO;FORMULÁRIO;DADOS ABERTOS;DADOS ABERTOS;;É preciso ampliar o leque de dados abertos publicados.;;;;;
88;FORMULÁRIO;FORMULÁRIO;CONVÊNIOS;INCLUSÃO DE INFORMAÇÕES;;Recursos recebidos do Governo Federal e Distribuição-Repasses aos Governos Municipais.;Silviana: As consultas de despesas e receita exibe a informação, mas é preciso ter conhecimento sobre o tema;;;;
89;FORMULÁRIO;FORMULÁRIO;DADOS ABERTOS;DADOS ABERTOS;;"Bases completas (para download) na área ""dados abertos"" referentes às informações que já estão disponíveis para consulta em outras áreas do portal (receita, despesa, compras, convênios, etc).";;;;;
90;FORMULÁRIO;FORMULÁRIO;FORMULÁRIO DE DETALHAMENTO;TIPOGRAFIA;Sinto falta dos contratos em teor integral, a exemplo do que é disponibilizado em SP.;Deixar claro que essa informação não está no Portal;"Silviana: Compras e Contratos: O Portal apresenta a cópia integral do contrato. 
Melhorar a forma de exibição do link para exibir a informação.";;;;
91;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;"Inserir local de trabalho onde aparece ""informação sigilosa"", nao sei porque se as infomaçoes tem que ser de dominio público.";ALÉM DA ESFERA DCTA;não se aplica;não se aplica;não se aplica;não se aplica
92;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;Agora a lotação da maioria dos servidores está como sigilosa, o que faz com que torne mais lento o processo de encontra-los. Precisamos expedir ofício nesse caso.;;ALÉM DA ESFERA DCTA;não se aplica;não se aplica;não se aplica;não se aplica
93;FORMULÁRIO;FORMULÁRIO;PESSOAL;INCLUSÃO DE INFORMAÇÕES;;Quantitativo de servidores por órgão;Silviana: Quantitativo independente da composição remuneratória;médio;sim;alto;baixa
94;FORMULÁRIO;;PESSOAL;INCLUSÃO DE INFORMAÇÕES;;Informações sobre quantitativo de pessoal efetivo, cargos por classe na carreira.;vide ID 93;médio;sim;alto;baixa
95;FORMULÁRIO;FORMULÁRIO;GESTÃO AMBIENTAL;INCLUSÃO DE INFORMAÇÕES;;Informações sobre gestão ambiental;;médio;verificar;alto;BAIXA
96;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;No campo dos descontos, deveria ser mais claro, como por exemplo, IPSEMG e Imposto de Renda;vide ID 93;médio;sim;1;baixa
97;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Colocar remuneração de servidores públicos inativos;vide ID 93;médio;sim;1;baixa
98;FORMULÁRIO;FORMULÁRIO;GERAL;LAYOUT;;Melhoria na agregação e transparência dos dados;Não se aplica;;;;
99;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;;Explicação dos termos desconhecidos ou exemplos de cada item;;2;SIM;2;BAIXA
100;FORMULÁRIO;FORMULÁRIO;CONVÊNIOS;MUNICÍPIOS / OUTROS ESTADOS;;Sim, um link com os projetos dos municípios (convênios);;1;NÃO;2;BAIXA
101;FORMULÁRIO;FORMULÁRIO;GERAL;LAYOUT;;Ter um layout mais intuitivo;Não se aplica;;;;
102;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Colocar informação sobre grau e nível em que o servidor se encontra;;1;SIM;3;BAIXA
103;FORMULÁRIO;FORMULÁRIO;GERAL;LAYOUT;;Melhorar tipos de gráficos, uso de cores nos gráficos.;;baixo;SIM;alto;BAIXA
104;FORMULÁRIO;FORMULÁRIO;PÁGINA INICIAL;FERRAMENTA DE BUSCA;;Mecanismos de busca mais eficiente, como número de contratos, convênios, respectivos atos de ordenação de despesas etc;Melhorar o campo busca de forma que usuário consiga localizar os dados de forma geral dentro do Portal;baixo;sim;alto;alta
105;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;Os filtros são EXTREMAMENTE técnicos e apenas peritos em orçamento conseguem navegar. Os dados não são fáceis e quando questionamos a SEF eles nos respondem que não é responsabilidade deles os dados orçamentários;Simplificar a linguagem, melhorar os filtros padronizando linguagem. Averiguar necessidade de inserir explicações e ajudas;;2;SIM;2;BAIXA
106;FORMULÁRIO;FORMULÁRIO;RESTOS A PAGAR;CONSOLIDAR DADOS;"Os dados apresentados em restos a pagar não condizem com os relatórios apresentados no RREO; não há dos dados de restos a pagar dos poderes além do executivo";;;;;;
107;FORMULÁRIO;;CONTEÚDO ESTÁTICO;CORRIGIR DADOS;;Revisar o item Legislação de Carreira, pois o link que remete às tabelas de vencimento básico (http://www.planejamento.mg.gov.br/pagina/gestao-de-pessoas/carreiras-e-remuneracao/tabelas-de-vencimento-basico), grupo XIII - Fazenda, o pdf anexado à página não exibe a tabela respectiva à carreira de auditor fiscal, por exemplo, mas somente Procurador do Estado e Advogado Autárquico.;Informar a area responsável para atualização;médio;sim;baixo;
108;FORMULÁRIO;FORMULÁRIO;???;INCLUSÃO DE INFORMAÇÕES;;Seria interessante informações sobre previsão de aposentadorias e quantitativo de cargos vagos.;;médio;sim;alto;BAIXA
109;FORMULÁRIO;FORMULÁRIO;PÁGINA INICIAL;FERRAMENTA DE BUSCA;;"Melhoria no campo de pesquisas. Poderíamos pesquisar o que desejamos saber logo na primeira página.
";;;;;
110;FORMULÁRIO;FORMULÁRIO;PÁGINA INICIAL;FERRAMENTA DE BUSCA;;Melhorar mecanismo de filtragem por palavras chave.;;;;;
111;FORMULÁRIO;FORMULÁRIO;PORTAL DE TRANSPARÊNCIA;INTEGRAÇÃO;;Integração com o mg app cidadão;;;;;
112;FORMULÁRIO;FORMULÁRIO;PESQUISA AVANÇADA;PARTIÇÃO DO ANO;;Possibilidade de baixar vários anos da execução da despesa em uma mesma consulta.;;alto;sim;alto;alta
113;FORMULÁRIO;FORMULÁRIO;GERAL;LEIAUTE;;Ao rolar a barra para olhar meses anteriores, a aba ficasse fixa, como era anteriormente.;"congelar cabeçalho
Silviana: não consegui identificar em qual consulta";baixo;SIM;alto;BAIXA
114;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Gostaria que expusessem o valor que recebemos que difere do contra cheque com o do portal da transparencia sendo este maior. (Inserir explicações);vide ID 74. Explicação consta no FAQ;médio;sim;1;baixa
115;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;;Linguagem mais simples.;;2;SIM;2;BAIXA
116;FORMULÁRIO;FORMULÁRIO;PÁGINA INICIAL;FERRAMENTA DE BUSCA;;"O campo de pesquisa para ""busca"" geral poderia aceitar mais de um critério (ex: palavra para espaço e uma para tempo)";;;;;
117;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;FILTROS;;Dividir a remuneração por orgão de lotação, de preferência em PDF;Silviana: Pode ser filtrada de acordo com  órgão. O Portal já apreseta a opção de extrair em PDF, mas conforme preconiza a legislação a extração em formato aberto é o mais adequado;não se aplica;não se aplica;não se aplica;não se aplica
118;FORMULÁRIO;FORMULÁRIO;PESQUISA BÁSICA;FILTROS;;Avaliar se não seria interessante possibilitar também, no campo busca, o acesos às informações por sigla de órgão/entidade.;Silviana: Acredito que o usuário esteja falando dos campos 'filtro' das pesquisas avançadas;;;;
119;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;O real valor de cada benefício recebido pelo servidor apontado, discriminado valor do salário, valor do ADVEB, valo do vale alimentação separadamente. Apontando o valor de que se trata da maneira como está não esclarece, não fica claro, você sabe que  servidor recebe FGD, mas qual o valor?por exemplo.;vide ID 74;médio;sim;1;baixa
120;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Gostaria que as gratificações dos servidores fossem descritas individualmente.;vide ID 74;médio;sim;1;baixa
121;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Também, gostaria de que constasse o quanto que o servidor já juntou da sua contribuição para a aposentadoria a longo de toda a sua carreira, devidamente corrigido, bem como a parte do Estado.;Informação Pessoal;não se aplica;não se aplica;não se aplica;não se aplica
122;FORMULÁRIO;FORMULÁRIO;PLANEJAMENTO E MONITORAMENTO;BENCHMARKING;;Destinamento de recursos financeiros por secretaria, já viram o portal de Salvador? É o melhor do país;;;;;
123;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Compatilidade do valor base que consta no contra cheque;vide ID 74;médio;sim;1;baixa
124;FORMULÁRIO;FORMULÁRIO;FISCALIZANDO COM TCE;MUNICÍPIOS / OUTROS ESTADOS;;A data de atualização das informações. Muitas Prefeituras estão com as informações da gestão antiga.;Dados do Fiscalizando com o TCE;;;;
125;FORMULÁRIO;;PESSOAL;INCLUSÃO DE INFORMAÇÕES;;Informação de servidores que não foram exonerados, cedidos (à disposição), LIP que não constam aqui no Portal de Transparência;vide ID 74;médio;sim;alto;baixa
126;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Dados dos Aposentados;vide ID 74;médio;sim;alto;baixa
127;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Quantitativo de inativos (aposentados) não consta essa informação e como sai recursos do Tesouro estadual para complementação desses pagamentos seria útil a sociedade saber.;vide ID 74;médio;sim;alto;baixa
128;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Acredito que, no que se refere à remuneração dos servidores públicos, deveria constar todos os benefícios que são pagos, incluindo indenizações, honorários, quinquênios, tudo bem esclarecido pois o que aparece para a população em geral não é a realizadade.;"vide ID 74. 
Detalhar informações";médio;sim;1;baixa
129;FORMULÁRIO;FORMULÁRIO;FAQ;INCLUSÃO DE INFORMAÇÕES;;Informações sobre as empresas estatais, principalmente as dependentes, recursos do Estado destinados a essas empresas, resultados e execução das metas.;;médio;sim;alto;BAIXA
130;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Sim. Remunerações de servidores lançadas mensalmente, pelo menos. Informações sobre quantitativo de pessoal efetivo, cargos cargos por classe na carreira.;vide ID 70;alto;sim;alto;alta
131;FORMULÁRIO;FORMULÁRIO;DESPESA;INCLUSÃO DE INFORMAÇÕES;;Acrescentar a identificação da Resolução e da conta bancaria do beneficiário em todos os empenhos.;;;;;
132;FORMULÁRIO;FORMULÁRIO;RESTOS A PAGAR;TUTORIAL;;Diferenciação do restos a pagar processados dos não processados, e incorporação somente dos processados no cálculo de dívida;;3;SIM;3;ALTA
133;FORMULÁRIO;FORMULÁRIO;CEAPE;INCLUSÃO DE INFORMAÇÕES;;Servidores que já tiveram punição na LEI 869/52, não sei se tem essa informação lá. Sugestão de servidores para maior controle dos gastos públicos no portal, já quem são os que sabem aonde as falhas estão.;Dados já consta no PdT. Pensa em melhor essa informação de forma que ela fique mais visivel;médio;sim;médio;baixa
134;FORMULÁRIO;FORMULÁRIO;CONVÊNIOS;INCLUSÃO DE INFORMAÇÕES;;Recursos recebidos do Governo Federal e Distribuição-Repasses aos Governos Municipais.;Silviana: As consultas de despesas e receita exibe a informação, mas é preciso ter conhecimento sobre o tema;;;;
135;FORMULÁRIO;FORMULÁRIO;DADOS ABERTOS;DADOS ABERTOS;;API, com a finalidade de permitir a extração automatizada de dados. Exemplo: http://www.portaltransparencia.gov.br/api-de-dados;;;;;
136;FORMULÁRIO;FORMULÁRIO;COMPRAS E CONTRATOS;INCLUSÃO DE CAMPOS;;Que fosse apresentadas mais informações em forma de gráficos, comparativos de preços médios dos bens e produtos adquiridos pelo Estado, principalmente, os com valor significativo e que as compras são efetuadas com frequência.;;;;;
137;FORMULÁRIO;FORMULÁRIO;PESSOAL;INCLUSÃO DE INFORMAÇÕES;;Servidores que possuem CPF em empresas talvez, não sei se há esta informação no portal.;informação pessoal;não se aplica;não se aplica;não se aplica;não se aplica
138;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;;Praticidade na informaçao do gerenciamento ,dos recursos financeiros passados aos municípios.;;1;SIM;2;BAIXA
139;FORMULÁRIO;FORMULÁRIO;DESPESA;INCLUSÃO DE INFORMAÇÕES;Ausência de informações primordiais como identificação da Resolução referente aos recursos empenhados e falta de demonstração da conta bancária onde o recurso foi creditado no beneficiário.;;;2;SIM;3;BAIXA
140;FORMULÁRIO;FORMULÁRIO;FAQ;INCLUSÃO DE INFORMAÇÕES;Remuneração servidores da ALMG;;Silviana: O Portal possui um link para o Assembleia. Podemos colocar essa informação no FAQ. Ex: http://www.portaltransparencia.gov.br/perguntas-frequentes/servidores-publicos;médio;sim;baixo;BAIXA
141;FORMULÁRIO;FORMULÁRIO;COVID;INCLUSÃO DE INFORMAÇÕES;Aquisição de vacinas para covid.;;;;;;
142;FORMULÁRIO;FORMULÁRIO;EMENDAS;INCLUSÃO DE INFORMAÇÕES;Objeto das emendas;;Silviana: Seria a mesma coisa de objeto do gasto da Emeda? Se sim, essa informação se está na consulta de emendas. Formulário de Detalhamentp;baixo;sim;alto;-
143;FORMULÁRIO;FORMULÁRIO;TRANSFERÊNCIAS DE IMPOSTOS;INCLUSÃO DE INFORMAÇÕES;Fundo de Participação das Prefeituras de trinta dias,ou seja mensal.;;;1;NÃO;3;BAIXA
144;FORMULÁRIO;FORMULÁRIO;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;;Gostaria que as gratificações dos servidores fossem descritas individualmente.;vide ID 70;alto;sim;2;alta
145;FORMULÁRIO;FORMULÁRIO;DESPESA;NOTA FISCAL;;Uso o Portal para verificar se as notas emitidas, pelos FHEMIG's, Polícia Militar, Fundo Estadual de Saúde estão liquidadas e pagamentos. Poderiam informar previsão de pagamento e informar os números das notas que foram liquidadas/pagas, facilitaria muito a conciliação na hora de fazer baixa dos pagamentos já que temos vários clientes e no extrato só vem identificado como Estado de Minas Gerais.;;;;;
146;FORMULÁRIO;FORMULÁRIO;DADOS ABERTOS;DADOS ABERTOS;O portal de dados abertos tem poucas informações.;;;;;;
147;FORMULÁRIO;FORMULÁRIO;PESQUISA AVANÇADA;PARTIÇÃO DO ANO;;Na pesquisa avançada ao escolher o período das informações, os campos de início e fim poderiam ser abertos e não limitados a anos fechados. Além do mais, poderia ser colocada a frequência que se gostaria de ter os dados (mensal, trimestral e anual, por exemplo). Dessa forma eu poderia obter rapidamente dados que me interessam de vários anos diferentes, na frequência que eu gostaria, com maior facilidade.;Silviana: Partição dos anos;alto;sim;alto;alta
148;FORMULÁRIO;FORMULÁRIO;TUTORIAL;INCLUIR INFORMAÇÕES;;Glossário ou dicionário de informações (como detalhamento das fontes de receita, das classificações de despesa e receita, categorias, naturezas, funções, etc.);;2;SIM;2;BAIXA
149;FORMULÁRIO;FORMULÁRIO;RECEITA;INCLUSÃO DE INFORMAÇÕES;;Se for possível, detalhamento regional e setorial dos dados (como ICMS recolhido por CNAE, ICMS recolhido por município, gastos por município ou microrregião);No site da SEF possui a informação, mas o link não está funcionando http://www.fazenda.mg.gov.br/governo/receita_estado/evolucao_anual/;médio;sim;alto;baixa
150;FORMULÁRIO;FORMULÁRIO;GERAL;LAYOUT;;Ter opção de filtros no cabeçalho das colunas seria muito útil;;baixo;;alto;baixa
151;LABMG;;MENU;MENU INTERNO;Usuários não utilizam o Menu interno para acessar as opções de menu de acesso rapido, sempre retornam à página inicial;Alterar o layout de MENU;melhorar o layout do site, importante, mas não trará melhoria significativa nas consultas e nas buscas;baixo;sim;3;alto
152;TESTE 1;identifique quais servidores têm cargo em comissão na segov ( tarefa concluída quando baixa a planilha);REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;Dificuldade de identificar que é necessário baixar a planilha para ter acesso a informação sobre quais servidores tem cargo em comissão na SEGOV;Informar ao usuário que para ter acesso a essa informação é necessário baixar a palnilha;;alto;sim;1;alta
153;TESTE 1;Despesa:Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de locação para o Estado em 2021.;PESQUISA AVANÇADA;USABILIDADE;Usuário tentou encontrar a informação a partir da pesquisa básica e teve dificuldade  para entender todos os campos do formulário;Deixar as opções disponíveis em busca avançada como uma expansão da busca básica, inserir link para o glossário nos itens do fomulário;;;;;
154;TESTE 1;Convênios: Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA BÁSICA;FILTROS;Usuário não consegue filtrar pelo número do convênio na pesquisa básica.;;Silviana: O mesmo ocorre para a busca dos contratos;alto;;alto;
155;TESTE 1;Convênios: Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA AVANÇADA;TIPOGRAFIA;A pesquisa não retorna nenhum resultado quando o nome do convenete é escrito com acento, somente reconhece quando digita sem acento.;Corrigir;;alto;;alto;
156;TESTE 1;Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de locação para o Estado em 2021.;PESQUISA AVANÇADA;LAYOUT;Achou estranho a formatação do formulário, não gostou da leitura ser direita-esquerda;Alterar a forma de exibição do formulário;Silviana: Os formulários devem ter uma coluna . Ex. https://medium.com/nextux/form-design-best-practices-9525c321d759;baixo;sim;alto;
157;TESTE 1;Obter a lista de todos os Servidores  com cargo em comissao da SEGOV  em janeiro 2021;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;"Seria mais fácil se as informações aparececem na tela ao invés de ter que baixar
";Verificar a possibilidade de retornar a pesquisa na tela, sem necessidade de baixar arquivo ou informar ao usuário que é necessário baixar;;médio;sim;2;baixa
158;TESTE 1;"Compras e Contratos -Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;LAYOUT;"Usuário tentou realizar a tarefa pelo nome do contratado.
Não obteve resultado, pois não clicou na caixinha (...) para selecionar  o nome.
Achou pouco intuitivo essa forma de busca, ainda mais que apenas essa campo apresenta essa opção";Padronizar os campo da pesquisa avançada;;médio;verificar;alto;alta
159;TESTE 1;"Compras e Contratos -Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;PARTIÇÃO DO ANO;Não gostou da opção de ter que selecionar o ano, pois caso o usuário não sabia o ano ele não consegue encontrar a informação;;Silviana: Possibilitar que o usuário encontre a informação independente do ano selecinado. Ex. Nº do contrato / Nº do Convênio e etc;alto;verificar;alto;alta
160;TESTE 2;"Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021
";PESSOAL;INCLUSÃO DE INFORMAÇÕES;Usuário tentou utilizar a busca da página inicial e a busca livre e não encontrou nenhuma informação que auxiliasse na busca.;;(para essa sugestão podemos inserir a explicação de como fazer a pesquisa como resultado a ser ancorado na busca);médio;sim;1;alta
161;TESTE 2;;PESQUISA AVANÇADA;USABILIDADE;Deveria haver maior ênfase no filtro avançado já que ele é o principal meio de busca das informações. Além disso, o filtro simples não permite encontrar muitas coisas.;;Silviana: Dar mais destaque ao campo pesquisa avançada;alto;sim;alto;alta
162;TESTE 3;;PÁGINA INICIAL;TIPOGRAFIA;"Fonte dos textos está muito pequena 
";Aumentar fontes usar letras menos finas;;Alto;sim;médio;baixa
163;TESTE 3;;PÁGINA INICIAL;INCLUSÃO DE INFORMAÇÕES;"
Vídeos da tela inicial não possuem nenhuma descrição que facilite enterder qual o conteúdo deles.";Inserir texto evidenciando o assunto dos vídeos;;baixo;sim;médio;baixo
164;TESTE 3;;PÁGINA INICIAL;TIPOGRAFIA;Muito texto embaralhado na parte de nóticias;;Acho que as notícias deveriam estar mais em destaque;Alto;sim;alto;baixo
165;TESTE 3;"Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021
";PESSOAL;INCLUSÃO DE INFORMAÇÕES;"A consulta Despesa Pessoal ocasionou confusão na usuária
Segundo a usuária ela teve ir na lista de remuneração para encontrar a lista .O ideial seria a lista dos servidores estar disponível.";;vide ID 70;alto;sim;2;alta
166;TESTE 3;;PÁGINA INICIAL;LAYOUT;o menu 'estou procurando por', muito escondido (barra de pesquisa);destacar o texto e aumentar o tamanho da barra;;Alto;sim;alto;baixo
167;TESTE 3;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2022;PESSOAL;INCLUSÃO DE INFORMAÇÕES;Usuário entendeu que na opção remuneração de pessoal estaria somente a remuneração individual não a listagem de um grupo ( usuária fez a pesquisa em despesa com pessoal, desistiu da pesquisa e jogou na busca, não obtendo sucesso na pesquisa);;(não há sugestão aqui a ser avaliada, somente o relato da dificudade/confusão);NA;NA;NA;NA
168;TESTE 3;"Compras e Contratos -Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;USABILIDADE;O formulário da pesquisa avançada apaga as informações escritas nos campos sempre que clica em pesquisar;Formulário não apagar o que o usuário digitou até que ele saia da página, pois caso queira refazer a busca não precisa digita todas as informações novamente;Silviana: Fiz o teste em compras e contratos e não ocorreu isso;não se aplica;não se aplica;não se aplica;não se aplica
169;TESTE 3;"Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";FORMULÁRIO DE DETALHAMENTO;TIPOGRAFIA;Dificuldade para achar a cópia integral do contrato, usuária não identificou que o número do contrato era um hiperlink;Aumentar o tamanho da fonte e sublinhar com traço para evidenciar que é um link;;médio;sim;alto;alta
170;TESTE 3;Despesa:Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de locação para o Estado em 2021.;PESQUISA AVANÇADA;CONCEITO;Usuários não tem conhecimento sobre o significado de todos os termos do formulário;Colocar link para glossário ou inserir ícone com explicação;"Silviana: Inserir tooltip em cada item do formulário ou colocar o link do glossário próximo ao formulário.
Ex. SP- Municipio (http://rsp.prefeitura.sp.gov.br/default.aspx?rsview=Despesa231_RptClassConta&Prj=SJ2224)";baixo;sim;alto;alta
171;TESTE 3;"Compras e Contratos:Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;LAYOUT;Usuária teve dificuldade de encontrar o campo para alterar o ano;É possivel deixar o ano como primeira opção e o restante do formulário fechado, abrir as outras opções omente depois de selecionar o ano ?;Melhorar a exibição do formulário;baixo;sim;alto;
172;TESTE 3;"Obter a lista dos servidores expulsos do Serviço Público Estadual.
";CEAPE;ORGANIZAR DADOS;Teve dificuldade de encontrar a listagem pois os servidores excluídos não são mencionados na descrição de nenhuma das opções do Menu de acesso rápido;"Criar uma categoria para essa informação dentro de pessoal ou inserir essa informação na descrição do item no ""Pessoal""";Usuário digitou na busca da página inicial o termo exonerados e não encontrou nada, depois difitou excluídos e  encontrou uma notícia com a informação.;1;sim;1;baixa
173;TESTE 3;"Obter a lista dos servidores expulsos do Serviço Público Estadual.
";CEAPE;ORGANIZAR DADOS;Página com muito texto e sem destaque para as innormações principais;Reduzir os textos e destacar palavras chave;Foco da atenção fica concentrado nas informações que estão destacadas nos ícones do Menu de acesso rápido;1;sim;1;baixa
